k,Antes de ENN,Después de ENN
629,80.436089,99.079826
630,80.436089,99.079826
631,80.39608,99.104256
632,80.356071,99.153595
633,80.356071,99.153595
634,80.496094,99.179916
635,80.416084,99.203979
636,80.516106,99.204971
637,80.616119,99.255585
638,80.776154,99.281822
639,81.276253,99.28624
640,81.296257,99.311028
641,81.616325,99.411758
642,81.576317,99.435997
643,82.296463,99.46524
644,82.296463,99.46524
645,82.556511,99.515381
646,82.696541,99.516205
647,82.956596,99.54184
648,83.136627,99.542831
649,83.436684,99.568451
650,83.476692,99.640549
651,83.836769,99.665955
652,83.856773,99.713745
653,84.43689,99.739395
654,84.456894,99.763145
655,84.556915,99.834404
656,84.61692,99.834511
657,84.856972,99.882133
658,84.997002,99.858788
659,85.317062,99.906212
660,85.297058,99.906197
661,85.557106,99.929855
662,85.597122,99.929893
663,85.697136,99.92997
664,85.757156,99.930016
665,85.877174,99.953415
666,85.85717,99.9534
667,85.937187,100.0
